Sl.No.,Brand,Name,Reviews Date Added,Reviews do Recommend,Reviews Num Helpful,Reviews Rating,Weight,Reviews Title,Reviews Text
1,Gallo,Ecco Domani174 Pinot Grigio - 750ml Bottle,2018-01-09T13:24:04Z,TRUE,1,5,1.0 lbs,My Favorite White Wine,This a fantastic white wine for any occasion!
2,Fresh Craft Co.,Fresh Craft174 Mango Citrus - 4pk / 250ml Bottle,2018-01-09T17:31:52Z,TRUE,,5,2.45 lbs,Yum!!,"Tart, not sweet...very refreshing and delicious!"
3,1000 Stories,1000 Stories174 Zinfandel - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,,5,3.09 lbs,A New Favorite!,I was given this wine so it was a delightful surprise to find that it has a flavorful and delicious taste! A new favorite!!!!
4,1000 Stories,1000 Stories174 Zinfandel - 750ml Bottle,2017-10-04T18:03:12Z,TRUE,,5,3.09 lbs,"Bold, Flavorful, Aromatic, Delicious",This is a phenomenal wine and my new favorite red.
5,Wine Cube153,Pink Moscato - 3l Bottle - Wine Cube153,2018-01-10T18:06:29Z,TRUE,1,5,1.0 lbs,"Yum! Plus, Environmentally Friendly!",4 750ml bottles for the price of two With way less packaging YES PLEASE! I was nervous it was too good to be true and I wouldn't like the wine but it's fantastic! I have to go a bit out of my way to get it (I live near a state line and it isn't sold in my state due to liquor laws) but it's worth it.
6,Beck's Na,Beck's174 Non Alcoholic Beer - 6pk / 12oz Bottles,2018-01-10T18:59:18Z,TRUE,,5,1.0 lbs,Great Taste,I LOVE Becks NA. It tastes just like a regular ale. It smells like one too. It tastes great. It's the only NA that I drink. My friends love it too. It has a great head when you pour.
7,Gallo,Apothic174 Red Blend - 750ml Bottle,2018-01-09T21:14:31Z,,1,3,1.0 lbs,Simply Wonderful,This wine has a wonderful but strong aroma its a bit bitter has a bite to it but still goodit was worth it in the end
8,Gallo,Apothic174 Red Blend - 750ml Bottle,2017-12-15T00:02:24Z,,1,2,1.0 lbs,A Sweet Red.,"I would give one more star if it came clean on the bottle and called itself a 'sweet red'. Instead it get's poetic and grandiose about itself when all it is is a blend which (standard practice) gets a dash of grape juice concentrate to sweeten it. It also looses a star for the price, I rather look to the side of my Target's shelves and pick-up a Lambrusco for about 3-4 less."
9,California Roots,California Roots Moscato White Wine - 750ml,2018-01-09T13:24:06Z,TRUE,0,5,2.65 lbs,,Delicious and very affordable
10,Charles Charles,Charles Charles174 Red Blend - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,,5,1.0 lbs,Charles & Charles Red Blend,"This is a very smooth red with Aromas of cocoa, coffee, tobacco sweet black cherry. Bold but soft. I highly recommend this one."
11,Fancy Pants,Fancy Pants174 Sauvignon Blanc - 750ml Bottle,2018-01-10T22:30:55Z,TRUE,,5,1.0 lbs,This Wine Made My Party!,"Based on positive reviews, I served all of the Fancy Pants varieties at a recent party. My guests and I loved them! Since I am not a wine expert, I will provide some details on this variety from the Fancy Pants website: ...is like sunshine in the glass. Its brisk and bright, with inviting citrus, melon and passion fruit aromas leading to mouthwatering grapefruit and zesty lime flavors with hints of minerality on the palate. Vibrant acidity and a crisp, clean finish make this wine a versatile partner for a wide range of foodsespecially succulent seafood, Mediterranean-style grilled vegetables, and salads. Served well chilled, our Sauvignon Blanc is fun and friendlythe perfect pour for sunny afternoons and picnics."
12,Martini Rossi,Martini Rossi174 Asti Spumante Sparkling Wine - 750ml Bottle,2018-01-09T17:31:52Z,,0,5,0.062 lbs,Nice Sparkling Wine Compared To Champagne,Nice fruity and sweet taking sparkling wine. Goes great in mimosa. You have to try it to see how you will like it. Even the guys would enjoy this at your wedding!
13,603 Brewery,603174 Winni Amber Ale - 6pk / 12oz Cans,2018-01-05T02:52:41Z,TRUE,,5,1.0 lbs,Great Nh Beer!,A rich amber Ale with a subtle but noticeable hop character. Great beer to pair with food!
14,603 Brewery,603174 White Peaks Ipa - 6pk / 12oz Cans,2018-01-05T02:52:41Z,TRUE,,5,1.0 lbs,Dry-Hopped Ipa!,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!"
15,603 Brewery,603174 White Peaks Ipa - 6pk / 12oz Cans,2017-09-12T19:36:03Z,TRUE,,5,1.0 lbs,Dry-hopped Ipa!,"This light bodied IPA is dry hopped with cascade for a bold and bright HP aroma, balanced by a refreshing and crisp Ale. Great for a cookout out day at the beach, love it!"
16,Coppola,Sofia Coppola174 Riesling - 750ml Bottle,2018-01-09T17:31:51Z,,0,5,1.0 lbs,Lovely! Try It!,Great for a perfect summer day or a get together with the girls.
17,California Roots,California Roots Pinot Grigio White Wine - 750ml,2018-01-10T05:58:00Z,,0,2,2.65 lbs,Fizzy Pinot Grigio?,I'm not sure if this is a bad bottle or if it was intentionally made effervescent. I don't want bubbles when I drink Pinot Grigio. Goes well with mozzarella string cheese and Cinemasins.
18,Sancho Libre,Sancho Libre174 Peach - 4pk / 12oz Cans,2018-01-10T18:59:18Z,TRUE,,5,1.0 lbs,Obsessed,"Obsessed with this new drink----However, it has been sold out at every Target I have been to lately :("
19,Modern House Wines,Modern House174 With Love Red Blend - 750ml Bottle,2018-01-09T17:31:52Z,TRUE,,5,0.06 lbs,Great Wine,"This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market."
20,Estancia,Estancia174 Cabernet Sauvignon - 750ml Bottle,2018-01-09T17:31:50Z,TRUE,1,5,1.0 lbs,Excellent Cab......!!!!!!!,One of the best Cabernets I had in quite sometime......!!!!!!
21,VOGA Italia,Voga Italia174 Pinot Grigio - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,,5,1.0 lbs,Highly Recommended,"This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didn't want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. It's a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend."
22,Michelob Ultra,Michelob174 Ultra Light Cider Beer - 6pk / 12oz Bottles,2018-01-08T11:22:19Z,TRUE,1,5,1.0 lbs,Michelob Ultra Light Cider,Gluten free plus lower on calories plus very refreshing!
23,Wine Cube153,Cabernet Shiraz - 3l Bottle - Wine Cube153,2018-01-10T18:06:27Z,TRUE,,5,1.0 lbs,Please Don't Discontinue This Flavor Combination!,Best of the bunch of all of The wine Cube sku's. Target Wine Buyer: please bring back!
24,Wine Cube153,Cabernet Sauvignon - 3l Bottle - Wine Cube153,2018-01-10T05:58:03Z,,1,3,1.0 lbs,Wine Is Good - The Cube Is Not,"I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isn't working."
25,Risata,Risata174 Moscato D'asti - 750ml Bottle,2018-01-10T05:58:01Z,,1,5,1.0 lbs,Could Not Believe The Taste,"I have tried my share of Moscato D' Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you won't be disappointed."
